吸	基本义	吸收	一个常见的汉字使用频率较高基本义为吸收。
非洲海雕	目	隼形目	非洲海雕（学名：Haliaeetusvocifer）为隼形目鹰科的鸟类，是一种中型猛禽，雌性比雄性大。
土才鱼	目	鲈形目	土才鱼即沙塘鳢（Odontobutisobscurus）属鲈形目，塘鳢科，沙塘鳢属。俗称：塘鳢、沙乌鳢、土才鱼、土憨巴、土狗公。
硬叶槲蕨	目	水龙骨目	硬叶槲蕨，Drynariarigidula(Sw.)Bedd.，水龙骨目槲蕨科槲蕨属植物。
尖果白蜡	目	玄参目	尖果白蜡，FraxinusoxycarpaWilld.，玄参目木犀科白蜡树属植物。
松毛虫赤眼蜂	目	膜翅目	松毛虫赤眼蜂，TrichogrammadendrolimiMatsumura，为膜翅目，赤眼蜂科赤眼蜂属的一个物种。
冠翎岩鸠	目	鸽形目	冠翎岩鸠（学名：Geophapsplumifera）属鸟纲、鸽形目、鸠鸽科、岩鸠属。
水雉	目	鸻形目	水雉是鸻形目水雉科的一种中小型鸟类，分布于中国南方、南亚次大陆及东南亚等地区。模式产地：菲律宾吕宋岛。水雉生活在热带及亚热带的开放性湿地中，主要为淡水湖沼。
帝汶绿鸠	目	鸽形目	帝汶绿鸠，Treronpsittacea，Treronpsittaceus（Temminck,1808），脊索动物门、鸟纲、鸽形目、鸠鸽科、绿鸠属的一个物种。
双色鳚	目	鲈形目	双色鳚（学名：Ecseniusbicolor），又称双色异齿鳚，为辐鳍鱼纲鲈形目鳚科中的其中一种，俗名二色无须鳚。
白黑兵鲶	目	鲶形目	白黑兵鲶，是辐鳍鱼纲鲶形目美鲶科的其中一种。
孤斑绿菱尺蛾	目	鳞翅目	孤斑绿菱尺蛾，RhomboristamonostictaWehrli，鳞翅目，尺蛾科 的一个物种。
千岛碱茅	目	禾本目	千岛碱茅（PuccinelliakurilensisHonda）属禾本目，禾本科多年生植物，疏丛。
三孢布拉氏霉	目	霜霉目	三孢布拉氏霉，属于霜霉目、白锈科，拉丁名是Blakesleatrispora。
佛鳄龟	目	龟鳖目	佛鳄龟，是属于爬行纲、龟鳖目、鳄龟科的动物。
大别山冬青	目	无患子目	大别山冬青（学名：IlexdabieshanensisK.Yao&M.B.Deng）是无患子目、冬青科下植物，常绿小乔木，高5米，全株无毛；树皮灰白色，平滑。
非常萨克利夫木	目	髓木目	非常萨克利夫木，髓木目萨克利夫木属标本，产于甘肃靖远红土洼组1号煤层煤核。
青斑阿南鱼	目	鲈形目	青斑阿南鱼，Anampsescaeruleopunctatus，鲈形目隆头鱼科阿南鱼属的一个物种。
近海水绵	门	绿藻门	近海水绵是绿藻门双星藻科中的植物（学名：Spirogyrasubmarina(Collins)Transeau)。
红头娇鹟	门	脊索动物门	红头娇鹟：脊索动物门、鸟纲、雀形目、娇鹟科，列入《世界自然保护联盟》（IUCN）ver3.1：2009年鸟类红色名录。
单粉照水梅	门	被子植物门	单粉照水梅，学名ArmeniacamumeSieb.var.pendulaf.simplexT.Y.Chen，杏属(Armeniaca)，蔷薇科，双子叶植物纲，被子植物门，分布于东亚、中亚、小亚细亚和高加索。
衣藻	门	绿藻门	和所有植物一样同时有线粒体和叶绿体，绿藻门，衣藻科。
海洋线虫	门	线虫动物门	属于线虫动物门的无尾感器纲，分布在从潮间带直到大洋深沟的沉积物中，或附着在海藻和有机质碎屑的表面。已有可靠记录的海洋线虫有4000种。
异丝藻目	门	黄藻门	异丝藻目Heterotrichales为藻类植物之一植物目该植物于植物分类表上归于黄藻门黄藻纲。
须鴷雀	门	脊索动物门	【名称】须鴷雀【拉丁学名】Xiphocolaptesfalcirostris【命名时间】Spix,1824【英文名称】MoustachedWoodcreeper【科属分类】脊索动物门、鸟纲、雀形目、鴷雀科。
川甘毛鳞菊	门	被子植物门	川甘毛鳞菊，属被子植物门、木兰纲、菊目、菊科、毛鳞菊属。
阔瓣疣鳞苔	门	苔藓植物门	阔瓣疣鳞苔，拉丁名为Cololejeunealatilobula(Herz.)Tix.，是苔藓植物门苔纲的一种植物。
布氏原燕	门	脊索动物门	【中文名称】布氏原燕【拉丁学名】Phedinabrazzae，Phedinopsisbrazzae【命名时间】Oustalet,1886【英文名称】Brazza'sMartin【科属分类】脊索动物门、鸟纲、雀形目、燕科。
原鳄亚目	门	脊索动物门Chordata	原鳄亚目（Protosuchia）为动物界Animalia、脊索动物门Chordata、形纲Sauropsida。
胶须藻属	门	蓝藻门	胶须藻属，蓝藻门胶须藻科下的一属。
格雷维尔水绵	门	绿藻门	格雷维尔水绵是绿藻门双星藻科中的植物（学名：Spirogyragrevilleana（Hassal）Kutzing)。
斑尾食果伞鸟	门	脊索动物门	【中文名称】斑尾食果伞鸟【拉丁学名】Pipreolaintermedia形态特征形态特征【命名时间】Taczanowski,1884【英文名称】Band-tailedFruiteater【科属分类】脊索动物门、鸟纲、雀形目、伞鸟科。
小兔耳苔	门	苔藓植物门	小兔耳苔，拉丁名为ntheliajuratzkana(Limpr.)Trev，是苔藓植物门苔纲的一种植物。
七姐妹藤	门	被子植物门	七姐妹藤所属被子植物门，双子叶植物纲，分布于山谷林缘或山脚灌丛中。
类梧桐	门	被子植物门	类梧桐为落叶乔木。枝呈圆柱形，单叶对生，聚伞花序，顶生。属于菊亚纲唇形目马鞭草科，被子植物门。
春美草	门	被子植物门	春美草属于被子植物门，单子叶植物纲植被。
高凯蜣螂	门	肢动物门	高凯蜣螂（学名：CaccobiusgonoderusFaimaire）是节肢动物门昆虫纲鞘翅目金龟科的动物。
黑腺鄂报春	门	被子植物门	黑腺鄂报春（PrimulaobconicaHancesubsp.nigroglandulosa），杜鹃花目报春花科植物，产于云南西部（腾冲、庐水）。属植物界被子植物门双子叶植物纲五桠果亚纲杜鹃花目报春花科。
狭叶鞭苔	门	苔藓植物门	狭叶鞭苔，拉丁名为BazzaniaalbifoliaHorik.，是苔藓植物门苔纲的一种植物。
长叶翅膜菊	门	被子植物门	长叶翅膜菊，拉丁名为AlfrediafetsowiiIljin，是被子植物门菊科的一种多年生草本植物。
金枝藻目	门	金藻门	金枝藻目（Phaeothamniales）为藻类植物之一种。该植物于植物分类表上，归于金藻门(Chrysophyta)金藻纲(Chrysophyceae)。
疣萼细鳞苔	门	苔藓植物门	疣萼细鳞苔，拉丁名为LejeuneatuberculosaSteph.，是苔藓植物门苔纲的一种植物。
栗胁鹰	门	脊索动物门	栗胁鹰，又称栗胁雀鹰，Accipitercastanilius（Bonaparte,1853），脊索动物门、鸟纲、隼形目、鹰科、鹰亚科、鹰属的一个物种。
白腹抖尾地雀	门	脊索动物门	【中文名称】白腹抖尾地雀【拉丁学名】Cinclodespalliatus【命名时间】Tschudi,1844【英文名称】White-belliedCinclodes【科属分类】脊索动物门、鸟纲、雀形目、灶鸟科。
赭额蚁鸫	门	脊索动物门	赭额蚁鸫：脊索动物门、鸟纲、雀形目、蚁鸫科。
血梗虫属	门	扁形动物门	血梗虫属（Hamatopeduncularia）是扁形动物门、吸虫纲、单殖亚纲、锚首虫科的一属。
罗汉松属	门	裸子植物门	罗汉松属，学名PodocarpusL`Hёr.exPersoon，裸子植物门罗汉松科的一属。
蛞蝓科	门	软体动物门	蛞蝓科，软体动物门肺螺亚纲眼目的一科。
白边疣鳞苔	门	苔藓植物门	白边疣鳞苔，拉丁名为CololejeuneainflataSteph.，是苔藓植物门苔纲的一种植物。
黄喉紫须伞鸟	门	脊索动物门	黄喉紫须伞鸟，脊索动物门、鸟纲、雀形目、伞鸟科，分布于南美洲，包括哥伦比亚、委内瑞拉、圭亚那、苏里南、厄瓜多尔、秘鲁、玻利维亚、巴拉圭、巴西、智利、阿根廷、乌拉圭以及马尔维纳斯群岛（也称福克兰群岛）。
灰背唧霸鹟	门	脊索动物门	【中文名称】灰背唧霸鹟【英文名称】Slaty-backedChat-tyrant【科属分类】脊索动物门、鸟纲、雀形目、霸鹟科。
似指环虫属	门	扁形动物门	似指环虫属（Dactylogyroides）是扁形动物门、吸虫纲、单殖亚纲、指环虫科的一属。
异缪穴虫属	门	扁形动物门	分类地位：异缪穴虫属（Allomurraytrema）是扁形动物门、吸虫纲、单殖亚纲、锚首虫科的一属。
网地藻科	门	褐藻门	网地藻科，学名Dictyotaceae，藻类植物，属褐藻门。
喜马拉雅细鳞苔	门	苔藓植物门	喜马拉雅细鳞苔，拉丁名为Lejeuneastevensiana(Steph.)Mizut.，是苔藓植物门苔纲的一种植物。
爬行亚目	门	节肢动物门	爬行亚目是动物界、节肢动物门、甲壳纲、十足目的一目。
琥珀闪蝶	门	节肢动物门	琥珀闪蝶，Morphoelectra（Rober,1903），节肢动物门、昆虫纲、鳞翅目、蛱蝶科、闪蝶属的一个蝴蝶。
刺边疣鳞苔	门	苔藓植物门	刺边疣鳞苔，拉丁名为CololejeuneaalbodentataChen&Wu，是苔藓植物门苔纲的一种植物。
阔嘴鵟	门	脊索动物门	【中文名称】阔嘴鵟【中文别名】大嘴鵟【英文名称】RoadsideHawk【科属分类】脊索动物门、鸟纲、隼形目、鹰科、鵟亚科。
厚壳玉黍螺	门	软体动物门	厚壳玉黍螺，Littorinalittorea（Linnaeus,1758），属于贝类动物，软体动物门，腹足纲，中腹足目，玉黍螺科。
雉鸡弱水亚种	门	脊索动物门	雉鸡弱水亚种命名者及时间Sushkin,1926科属分类脊索动物门、鸟纲、鸡形目、雉科、雉属、雉鸡分布于中国甘肃西北部弱水下游，索果诺尔，额济纳河下游、戈壁中部以及与蒙古相邻部分（留鸟）。
芋参目	门	棘皮动物门	芋参目（Molpadida）是棘皮动物门、海参纲的一目。
象鼻贝	门	软体动物门	象鼻贝又叫象鼻蚌，软体动物门、双壳纲、海螂目、缝栖蛤科、海神蛤属。
非洲猎鹰	门	脊索动物门	非洲猎鹰，Polyboroidestypus（Smith,1829），脊索动物门、鸟纲、隼形目、鹰科、鹞亚科，分布于非洲中南部地区，包括阿拉伯半岛的南部、撒哈拉沙漠（北回归线）以南的整个非洲大陆。
叶附生苔类	门	苔藓植物门	叶附生苔类（epiphyllousliverworts）是苔藓植物门（Bryophyta）、苔纲（Bryopsida）中多附生于常绿阔叶树叶面（稀见于落叶阔叶树或草本植物上），生态上高度特化的一类植物。
黄喉鴷雀	门	脊索动物门	脊索动物门、鸟纲、雀形目、鴷雀科，黄喉鴷雀为中、小型鸟类。
碧方玉	门	被子植物门	碧方玉所属被子植物门，原产墨西哥沙漠地区，现中国南方、北方均有引种栽培。
通贝斯雀鹀属	门	脊索动物门	通贝斯雀鹀属，脊索动物门、鸟纲、雀形目、鹀科、通贝斯雀鹀属，分布于阿根廷，玻利维亚，巴拉圭，厄瓜多尔，秘鲁。
吊丝竹	界	植物界	吊丝竹（学名：D.minor(McClure)ChiaetH.L.Fung）植物界，被子植物门，单子叶植物纲，特产于中国广东、广西，现悉贵州也有。
背叶华草花蝇	界	动物界	背叶华草花蝇，分类地位：动物界>节肢动物门>昆虫纲>双翅目>花蝇科。
美花草	界	植物界	美花草（学名：Callianthemumpimpinelloides）所属植物界，属毛茛科。
担孢子	界	真菌界	真菌界，担子菌门的有性孢子。由担子经核配、减数分裂形成的单倍体细胞。生长在担子的前端，有小梗与担子相连。成熟的担孢子由小梗弹射散出，萌发后形成初级菌丝。
子囊菌纲	界	真菌界	真菌界、真菌门、子囊菌纲（Ascomycetes）本纲最重要的特征是产生子囊(ascus)，内生子囊孢子(ascospore)。
三裂瓜属	界	植物界	三裂瓜属为植物界被子植物门(Magnoliophyta)双子叶植物纲(Dicotyledoneae)，又称木兰纲。
卵叶紫菀	界	植物界	卵叶紫菀，主要分布在中国台湾，属于植物界被子植物门，双子叶植物纲，菊目，菊科，紫菀属，是一种多年生草本，茎高约100厘米，有分枝，有沟，上部被密柔毛。
袋拟扁蛛	界	动物界	中文学名：袋拟扁蛛。拉丁学名：SelenopsbursariusKarsch,1879。动物界、蛛形纲、蛛形目。
假辣子	界	植物界	假辣子为植物界樟目(Laurales)木姜子属(LitseaLam.)，是小乔木。
阿朋策犬	界	动物界	阿朋策犬所属动物界，属犬科，它的品种来源可追溯到公元前一世纪，罗马军团把古代的MOLOSSUS犬先容到瑞士阿尔卑斯地区时。
少叶艾纳香	界	植物界	少叶艾纳香是植物界被子植物门的植物。
细叶周至柳	界	植物界	细叶周至柳，属于植物界，被子植物门(Magnoliophyta)，双子叶植物纲(Magnoliopsida)，又称木兰纲。
矮香蒲	界	植物界	矮香蒲，所属植物界，是唇形科中香薷属内的物种之一，产云南西北部。
瘤子草属	界	植物界	瘤子草属为植物界爵床科，披散、被毛草本；叶对生；花小，穗状花序；有腺体；蒴果长椭圆形，种子无种钩。
柯岛浣熊	界	动物界	所属分类：柯岛浣熊为动物界脊索动物哺乳纲浣熊科。
金沙绢毛苣	界	植物界	金沙绢毛苣（别名：绢毛菊；Soroserisgillii）。真核植物界被子植物门木兰纲菊亚纲菊目菊科菊苣亚科菊苣族绢毛苣属。
荠薴	界	植物界	中文学名：荠薴，别称：臭苏、青白苏；属植物界被子植物门双子叶植物纲唇形科。
滑藤	界	植物界	滑藤为植物界萝藦科滑藤属物种之一，分布于云南南部。
黄秆金竹	界	植物界	黄秆金竹，所属植物界，属禾本科，分布在江苏、北京及浙江的杭州等地。
少毛甘西鼠尾草	界	植物界	少毛甘西鼠尾草，所属植物界，属唇形科，分布于中国大陆的四川、西藏、云南等地。
肖鸢尾属	界	植物界	肖鸢尾属，植物界，天门冬目(Asparagales)，鸢尾科，约90种，分布于南半球，我国引入栽培的有肖鸢尾M.iridioidesL.1种，广州间有栽培。
光叶珍珠花	界	植物界	光叶珍珠花，所属植物界，与原变种不同在于叶背面近无毛；花序较短，长1-2.5（-3）厘米；花梗无毛或基部有少数短柔毛；花冠坛状；子房无毛；蒴果较小，近球形或卵圆状，直径2.5-3.5毫米。
霉叶委陵菜	界	植物界	霉叶委陵菜，所属植物界，蔷薇科，生于山坡湿润地、疏林下，花黄色，花期4-5月。
白花山碧桃	界	植物界	白花山碧桃（Prunusdavidiana‘Albo-plena’），植物界，蔷薇科，落叶小乔木，是桃花和山桃的天然杂交种，观花树种。
揽蝶	界	植物界	揽蝶，所属植物界，属兰科，分布在定海。
荷奇梅	界	植物界	荷奇梅是春兰的一种，出自绍兴。植物界，被子植物门，兰科。
疏花紫	界	植物界	疏花紫，所属植物界，属虎耳草目，分布在中国。
小花酸藤子	界	植物界	小花酸藤子，所属植物界，属紫金牛科，分布广东云南、贵州等地。
星砂	界	原生生物界	星砂是一种有孔虫，是相当原始、简单的动物，空充属于原生生物界的肉足鞭毛虫门，是一种单细胞动物，这“砂”的部分其实是他们制造的碳酸钙骨骼，许多种类的骨骼呈星形，所以美其名为星砂。
山一笼鸡属	界	植物界	山一笼鸡属，所属植物界，属爵床科，分布于东南亚和中国，中国产的有多枝山一笼鸡等3种，产西南部和南部。
紫光丝膜菌	界	真菌界	紫光丝膜菌分布于吉林、西藏等地，属真菌界，伞菌目，丝膜菌科。
狗肝菜属	界	植物界	狗肝菜属，所属植物界，属爵床科，分布于热带和亚热带地区，我国有1－2种，产西南部至东南部。
斑瓣虎耳草	界	植物界	斑瓣虎耳草，所属植物界，属虎耳草科，以全草入药，具有除湿利尿，行血祛瘀，消肿的功效。
斜枝长喙藓	界	植物界	斜枝长喙藓，属植物界，苔藓植物门，藓纲。
风欢楠	界	植物界	风欢楠，植物界，肉豆蔻科植物，在山谷，山谷阔叶林中，疏林中生存，生活在最低海拔140-最高海拔1200范围内，非中国特有，非人工引种栽培，在我国海南，广东，广西自治区，云南分布，国外分布于缅甸、印度安达曼群岛、印度东北部等。
草原勿忘草	界	植物界	草原勿忘草属于植物界被子植物门单子叶植物纲禾本目禾本科分布于长白山地区。
球兰组	界	植物界	球兰组，属于植物界，种子植物门，双子叶植物纲，菊亚纲，龙胆目，萝藦科，马利筋亚科，牛奶菜族，球兰属，球兰组，中国产21种，3变种，2变型。
胖夜蛾	界	动物界	胖夜蛾，所属动物界>节肢动物门>昆虫纲>鳞翅目>夜蛾科>胖夜蛾属，体长24mm，翅展56-68mm。
隐子草属	界	植物界	隐子草属（学名：CleistogenesKeng），所属植物界，属禾本科，分布于欧洲南部以及亚洲中部和北部的干旱和半干旱地区。
吉良芋螺	界	动物界	吉良芋螺是动物界软体动物门，腹足纲，芋螺科，常分布于日本、越南。
松鹤素	界	植物界	松鹤素，所属植物界，属兰科，春兰属。
长序冷水花	界	植物界	中文学名是长序冷水花植物界一种，中文别名：大冷水花；三脉冷水花；大冷水麻；胡椒草；野牡丹叶冷水麻，中国分布于台湾、广东、广西、贵州、西藏。
大胡红	界	植物界	大胡红为植物界虎耳草目芍药属，分布在中国。
丘北铁线莲	界	植物界	丘北铁线莲，所属植物界，属毛茛科，产云南中南部（双柏，邱北）。
蚕豆核盘菌茎腐病	界	真菌界	蚕豆核盘菌茎腐病，主要发生在长江流域，属于真菌界，子囊菌亚门，一般2～4月始发，4～5月扩展较快，大多危害蚕豆的茎花部位。
黄脉爵床属	界	植物界	黄脉爵床属为植物界被子植物门(Magnoliophyta)双子叶植物纲(Magnoliopsida)，又称木兰纲，分布于南美洲，我国南部至台湾省栽培有黄脉爵床S.nobilisHook.f.1种。
茶花白轮蚧	界	动物界	茶花白轮蚧，所属动物界，属盾蚧科，分布在华南、西南、华中、华东等地。
贝氏新小羚	界	动物界	贝氏新小羚为动物界偶蹄目Artiodactyla贝拉羚属Dorcatragus。
微柱麻属	界	植物界	微柱麻属（ChamabainiaWight）所属植物界，属荨麻科，分布于印度、马来西亚及中国西南部和台湾。
黄壮异蝽	界	动物界	黄壮异蝽，属动物界>节肢动物门>昆虫纲>半翅目>壮异蝽>壮异蝽属，未列入保护级别。
冬红属	族	大青族	冬红属，学名HolmskioldiaRetz.，马鞭草科大青族的一个属。
史赘斯曼氏虹彩吸蜜鹦鹉	族	虹彩吸蜜鹦鹉族	史赘斯曼氏虹彩吸蜜鹦鹉（拉丁学名Trichoglossush.stresemanni、英文名称Stresemann'sLorikeet）属于鸟纲、鹦形目、鹦鹉科、虹彩吸蜜鹦鹉族，它们主要栖息于印尼的卡拉欧吐瓦岛（Kalao-tuaIsland）上。
十万错属	族	爵床族	十万错属为爵床科、爵床族下分一属，约70种，分布于东半球热带地区。
刺葵族	族	刺葵族	刺葵族（学名Trib.PhoeniceaeDrude）是棕榈科下的一个属，为灌木或乔木植物。
五彩芋属	族	芋族	五彩芋属，学名CaladiumVent.，天南星科芋族五彩芋属植物。
双节早熟禾	族	早熟禾族	双节早熟禾属于早熟禾属，早熟禾属（PoaLinn.）是被子植物门早熟禾族下的一个属，该属均为多年生，疏丛型或密丛型草本。
假牛鞭草属	族	单穗草族	假牛鞭草属是禾本目、早熟禾亚科、单穗草族下分一属。
披针叶野丁香	族	鸡矢藤族	披针叶野丁香，植物，属被子植物门、双子叶植物纲、合瓣花亚纲、茜草目、茜草科、茜草亚科、鸡矢藤族、野丁香属。
扁莎属	族	莎草族	扁莎属，学名PycreusP.Beauv.，莎草科莎草族的一个属。
山莨菪属	族	茄族	山莨菪属，学名AnisodusLinketOtto，茄科茄族一属，多年生草本或亚灌木。
岭罗麦属	族	栀子族	岭罗麦属，学名TarennoideaTirveng.etC.Sastre，茜草科栀子族的一个属。
宽叶百里香	族	塔花族	宽叶百里香（学名：Thymuspulegioides），属于双子叶植物纲，管状花目，唇形科，塔花族，百里香属。 宽叶百里香植株展开的小灌木，开粉紫红管状小花，花期为晚春到初夏开花，叶片为中绿色披针叶、香味浓郁。
新型兰属	族	树兰族	新型兰属，学名NeogynaRchb.f.，兰科树兰族下一属。
显脉香茶菜	族	香茶菜族	显脉香茶菜又叫大叶蛇总管、蓝花柴胡、脉叶香茶菜等，属唇形目、唇形科、罗勒亚科、香茶菜族物种。
天蓬子属	族	茄族	天蓬子属，学名AtropanthePascher，茄科茄族一属。
底波兰奇氏虹彩吸蜜鹦鹉	族	虹彩吸蜜鹦鹉族	底波兰奇氏虹彩吸蜜鹦鹉，鹦鹉科、虹彩吸蜜鹦鹉族，主要栖息于新加勒多尼亚（NewCaledonia）和忠诚岛（LoyaltyIslands）。
木瓜榄属	族	栀子族	木瓜榄属，学名Ceriscoides(Hook.f.)Tirveng.，茜草科，栀子族。
山莴苣属	族	菊苣族	山莴苣属，学名LagediumSojak，菊科菊苣族的一个属。
心叶报春茜	族	耳草族	心叶报春茜，金鸡纳亚科耳草族草本植物，为我国特有物种，生于水边阴处，分布于广西等地。
意大利红门兰	族	红门兰属	意大利红门兰（学名：Orchisitalica），也称意大利男人兰、金字塔猴子兰、睾丸兰，为兰族红门兰属的一种，植株高20-50厘米，花顶生，为发白的粉红色或紫色，花被片为头盔状，有暗色条纹，整朵花的造型就像一个戴着草帽的裸体男人。
石龙刍属	族	割鸡芒族	石龙刍属，学名LepironiaL.C.Rich.，莎草科割鸡芒族的一个属。
樫木属	族	鹧鸪花族	樫木属，学名DysoxylumBl.，楝科、鹧鸪花族一属。
槲寄生属	族	槲寄生族	槲寄生属，桑寄生科，槲寄生族，寄生性灌木或亚灌木。
水蛇麻属	族	水蛇麻族	水蛇麻属，学名FatouaGaud.，桑科水蛇麻族一属，草本。
细花福王草	族	菊苣族	细花福王草，菊科菊苣族植物，主要分布在四川地区。
溪楠属	族	玉叶金花族	溪楠属，学名KeenaniaHook.f.，茜草科玉叶金花族的一个属。
田菁属	族	刺槐族	田菁属（拉丁学名：SesbaniaScop.），豆科，刺槐族，草本或落叶灌木，羽状复叶；托叶小；早落；总状花序腋生于枝端；花梗纤细；花萼阔钟状，子房线形，花柱细长弯曲，荚果常为细长圆柱形，种子多数,圆柱形。
破坏草	族	泽兰族	紫茎泽兰（学名：Ageratinaadenophora），又名解放草、破坏草、马鹿草、大黑草、花升麻、细升麻，为菊科泽兰族假藿香蓟属多年生草本植物或亚灌木，原产于墨西哥，自19世纪作为一种观赏植物在世界各地引种后，因其繁殖力强，已成为全球性的入侵物种。
浓子茉莉属	族	栀子族	浓子茉莉属，学名FagerlindiaTirveng.，茜草科栀子族的一个属。
滇西蒲桃	族	蒲桃族	滇西蒲桃是桃金娘科、蒲桃族、小花蒲桃组、高檐蒲桃系乔木。
绒头假糙苏	族	野芝麻族	绒头假糙苏，学名ParaphlomistomentosocapitataYamamoto，唇形科野芝麻族假糙苏属植物。
染料木属	族	染料木族	染料木属，学名GenistaLinn.，豆科、染料木族的一个属。
环根芹属	族	美味芹族	环根芹属，学名CyclorhizaShehetShan，伞形科，美味芹族。
瘤囊薹草	族	薹草族	瘤囊薹草属于被子植物门薹草族植被。
统帅青凤蝶	族	凤蝶族	统帅青凤蝶（Tailedjay，学名Graphiumagamemnon），凤蝶亚科青凤蝶族下的一种蝴蝶。多出现于林区，飞行快速，雌蝶在食草产卵时会较易观察。统帅青凤蝶展翅宽70至80毫米，翅膀上布满细碎的绿色斑纹，有翅尾。
辐花苣苔属	族	苦苣苔族	辐花苣苔属，学名ThamnocharisW.T.Wang，苦苣苔科苦苣苔族下一属。
钩子木属	族	刺蕊草族	钩子木属，学名Rostrinucula，唇形科刺蕊草族下一属。
鬟刺属	族	黍族	鬟刺属，学名SpinifexL.，禾本科黍族的一个属。
菲尔科西亚属	族	水八角族	这个新加入的成员对食虫植物界来说，绝对是一个振奋人心的消息！菲尔科西亚属(Philcoxia)分类为车前草科(Plantaginaceae)的水八角族(Gratioleae)。
高山糙苏	族	野芝麻族	高山糙苏，学名Phlomisalpina，唇形科野芝麻族糙苏属植物，为多年生草本，高20—50厘米，具绳索状的根。
钻水鸭	族	鸭族(Anatini)	钻水鸭，是构成雁形目(Anseriformes)鸭科(Anatidae)鸭亚科(Anatinae)鸭族(Anatini)鸭属(Anas)约38种和其他属的5种水禽。
周承恩	号	碧峰	周承恩（?～1822）字君然，号碧峰，本籍福建。
大圭	号	梦观	大圭：是古代皇帝所执的玉质手板。形状狭长而锐上，略似剑叶。大奎，俗姓廖，字恒白，号梦观，元·泉州晋江人，是元末闽南著名诗僧。
谢谔	号	艮斋	谢谔（1121～1194）字昌国，号艮斋，一说定斋，人称艮斋先生、桂山先生，新喻（今属江西）人。
廖世德	号	枣村	廖世德，生卒年月不详，字荣先，号枣村，清康熙辛卯科举人，广西钟山县燕塘乡玉坡村人。
杨筠松	号	筠松	杨筠松，名益，字叔茂，号筠松，后人也称为“杨救贫”。
雷珍民	号	雷工	雷珍民，男，汉族，号雷工，雷公，1946年生于陕西合阳世代书香之家。
梁同书	号	山舟	梁同书(1723年～1815年），字元颖，号山舟，晚年自署不翁、新吾长，钱塘人。大学士梁诗正之子。梁同书生性重孝，以书法著名。
马良忠	号	咽铁	马良忠，别名忠良，字源项，号咽铁，1954年生，河南省项城市人，1988年毕业于中国书画函授大学书法专业。
付志鹏	号	琦峰	付志鹏，满族，富察·戴敏得，字凤翼，号琦峰，1976年生于黑龙江省宁安，现为中国美术艺术家协会常务理事；黑龙江省美术家协会会员；北京画院王明明工作室画家；北京文化部诗书画院理事；黑龙江省非物质文化遗产传承人；中国萨满文化研究所职业画家；。
陈声聪	号	壶因	陈声聪字兼与，号壶因、荷堂，福建闽侯人。
李材春	号	木子山人	李材春1933年3月生，湖南安仁县人。字湘安，号承西、木子山人。
李夏荣	号	铁研斋主	李夏荣，1964年生，字禹生，号铁研斋主，草虫之居主人，江苏如东人。
童剑峰	号	见峰	童剑峰，男，1975年1月9日生于浙江宁波，字宗林，号见峰、见丰，鄞州人，八岁拜师学习书画，十三岁曾居天童禅寺藏经楼抄录经文。
帅民风	号	三草	帅民风，字秀野，号三草，室名三契轩，汉族，1958年3月25日出生，桂林人。
石银鹿	号	子兴	石银鹿字振华，号子兴，1938年7月诞生于段家庄。
郑一初	号	紫坡	郑一初，字朝朔，号紫坡，揭阳县官溪都蓝桥乡（今榕城区仙桥篮兜村）人，生于明朝成化十二年（1476）。
戴克诚	号	秀水居	戴克诚，男，字石夫，号秀水居士，斋属“秀水草堂”、“秀水山庄”，河南郑州市人，祖籍河南省夏邑县，1964年11月生。
陆九渊	号	象山	陆九渊(1139-1193)，字子静，号象山，汉族，书斋名“存”，世人称存斋先生，江西抚州市金溪县陆坊青田村人。
瞿圆初	号	一禅	瞿圆初（?～1932）原名瞿世玮，字稚彬，号一禅。
沈晦	号	胥山	沈晦，钱塘（今浙江杭州）人，字元用，号胥山。
董应举	号	见龙	董应举(1557?1639)字见龙，号崇相，连江？头龙塘人。
白元鹤	号	天涯浪子	白元鹤，字，天鹰，笔名长白山人，号天涯浪子。
夏京州	号	汉风堂主人	夏京州，字草盛，号汉风堂主人、九州草盛、南院漫士、雪父等。
秦丘	号	枯竹斋主人	秦丘，姓李，字之锋，号枯竹斋主人，笔名秦丘。
潘公展	号	公展	潘公展(1894—1975)，原名有猷，字干卿，号公展，吴兴（今湖州）人。曾任中国公学校长、《晨报》社长、《申报》董事长等。著有《罗素的哲学问题》等。潘公展毕业于上海圣约翰大学。
陈文武	号	石痴	陈文武，字百川、号石痴、雅文阁主、砚田耕夫。
葛尊	号	雪斋	葛尊，（清·画家）浙江海宁市郭店人，生卒年不详。字龙芝，一作龙芷，号雪斋，诨名聋子（其耳实聋），曾见署款尊贤，从艺活动大约经历道光、咸丰、同治、光绪、宣统五朝，民国初仍在世，享寿甚高。
邹宗松	号	林海一松	邹宗松，男，福建福州人，1943年出生于福建福州，字鹤龄，号林海一松。
应大猷	号	容庵	应大猷（1487年－1581年），字邦升，号容庵，浙江仙居县下各村人。
韩希琦	号	无闷	韩希琦(1873～1933年)，字君玉，号无闷，漳州诏安人。
史继偕	号	联岳	史继偕（1560-1635年），字世程，号联岳，一说莲岳，明泉州晋江大房人，生于明嘉靖三十九年（1560）九月，历宦神宗、光宗、熹宗约三十二年之久。
潘英琪	号	伴墨斋主人	潘英琪，1954年生，字迹杰，号伴墨斋主人，山东莱州市人。
