宅的表现是不出门。	宅
当你想要逛的时候你可能会走出房间。	逛
当你想要逛的时候你可能会走出门。	逛
当你想要逛的时候你可能会走动。	逛
当你想要吐的时候你可能会跑厕所。	吐
当你想要哭的时候你可能会跑走。	哭
当你想要钱的时候你可能会跟妈妈要。	钱
当你想要钱的时候你可能会跟爸妈要。	钱
当你想要钱的时候你可能会跟爸妈说。	钱
当你想要钱的时候你可能会跟爸爸要。	钱
当你想要钱的时候你可能会跟老板支薪。	钱
当你想要钱的时候你可能会跟老爸要。	钱
当你想要哭的时候你可能会躲在棉被。	哭
当你想要哭的时候你可能会躲棉被里。	哭
当你想要哭的时候你可能会躲起来。	哭
当你想要哭的时候你可能会躲进厕所。	哭
当你想要钱的时候你可能会邮局领。	钱
当你想要哭的时候你可能会靠在别人怀里。	哭
当你想要哭的时候你可能会鼻子红。	哭
当你想要吃大汉堡的时候你可能会买。	买
当你想要吃面的时候你可能会买。	买
当你想要开电脑的时候你可能会玩。	玩
当你想要打电脑的时候你可能会玩。	玩
当你想要放弃的时候你可能会哭。	哭
当你想要碗盘的时候你可能会买。	买
当你想要跳舞的时候你可能会笑。	笑
当你想要追公车的时候你可能会跑。	跑
很困的时候会想要睡。	睡
很快乐的时候会想要笑。	笑
心碎的时候会想要哭。	哭
忧郁的时候会想要哭。	哭
怀孕的时候会想要吐。	吐
恋爱的时候会想要笑。	笑
想不开的时候会想要哭。	哭
想妳的时候的时候会想要哭。	哭
想家的时候会想要哭。	哭
想念的时候会想要哭。	哭
想睡的时候会想要床。	床
想要有钱应该要一技之长。	钱
想要有钱应该要上班。	钱
想要有名应该要上电视。	名
想要有钱应该要上进。	钱
想要有钱应该要上进心。	钱
想要有钱应该要下对方针。	钱
想要有钱应该要下注。	钱
想要有钱应该要下海。	钱
想要有钱应该要不乱买东西啊。	钱
想要有钱应该要不乱挥霍。	钱
想要有钱应该要不乱花。	钱
想要有钱应该要不停的赚。	钱
想要有钱应该要不偷懒。	钱
想要有钱应该要不怕苦。	钱
想要有钱应该要不浪费。	钱
想要有钱应该要不要乱买。	钱
想要有钱应该要不要随便乱花。	钱
想要有钱应该要不轻言放弃。	钱
想要有钱应该要不追求名牌。	钱
想要有钱应该要专心工作。	钱
想要有钱应该要中乐透。	钱
想要有钱应该要中头奖。	钱
想要有钱应该要中奖。	钱
想要有钱应该要乖乖上班。	钱
想要有钱应该要乖乖唸书。	钱
想要有钱应该要乞讨。	钱
想要有钱应该要买乐透碰运气。	钱
想要有钱应该要买低卖高。	钱
想要有钱应该要买基金。	钱
想要有钱应该要买大乐透。	钱
想要有钱应该要买威利彩。	钱
想要有钱应该要买威力彩。	钱
想要有钱应该要买彩券。	钱
想要有钱应该要买楼收租。	钱
想要有钱应该要买股票。	钱
想要有钱应该要争取工资加薪。	钱
想要有钱应该要从商。	钱
想要有钱应该要付出代价去赚。	钱
想要有钱应该要付出努力。	钱
想要有钱应该要付出劳力。	钱
想要有钱应该要会投资。	钱
想要有钱应该要会理财。	钱
想要有钱应该要伸手向父母拿。	钱
想要有钱应该要作好投资。	钱
想要有钱应该要作投资。	钱
想要有钱应该要作生意。	钱
想要有钱应该要做大老板。	钱
想要有钱应该要做好理财。	钱
想要有钱应该要做工作。	钱
想要有钱应该要做生意。	钱
想要有钱应该要做苦力。	钱
想要有钱应该要健康。	钱
想要有钱应该要偷拐抢骗。	钱
想要有钱应该要偷机。	钱
想要有钱应该要充实自己。	钱
想要有钱应该要先找到工作。	钱
想要有饭应该要先洗米。	饭
想要有钱应该要典当。	钱
想要有钱应该要兼家教。	钱
想要有钱应该要兼差。	钱
想要有钱应该要兼职。	钱
想要有钱应该要内线交易。	钱
想要有钱应该要减少负债。	钱
想要有钱应该要出劳力。	钱
想要有钱应该要出卖劳力。	钱
想要有钱应该要创业。	钱
想要有名应该要制造新闻。	名
想要有钱应该要刻苦耐劳。	钱
想要有钱应该要加油。	钱
想要有钱应该要加班。	钱
想要有钱应该要动头脑。	钱
想要有钱应该要动脑。	钱
想要有钱应该要动脑筋。	钱
想要有钱应该要动脑袋瓜儿。	钱
想要有钱应该要努力上班。	钱
想要有钱应该要努力上进。	钱
想要有钱应该要努力不懈。	钱
想要有钱应该要努力争取机会。	钱
想要有钱应该要努力以赴。	钱
想要有钱应该要努力向上。	钱
想要有钱应该要努力向学。	钱
想要有钱应该要努力唸书。	钱
想要有钱应该要努力学习。	钱
想要有钱应该要努力念书。	钱
想要有钱应该要努力打拼。	钱
想要有钱应该要努力找工作。	钱
想要有钱应该要努力投资。	钱
想要有钱应该要努力点。	钱
想要有钱应该要努力用功。	钱
想要有钱应该要努力读书。	钱
想要有钱应该要努力赚。	钱
想要有钱应该要勤劳。	钱
想要有钱应该要勤奋。	钱
想要有钱应该要勤奋工作。	钱
想要有钱应该要卖东西。	钱
想要有钱应该要卖春。	钱
想要有钱应该要卖身。	钱
想要有钱应该要卖陶瓷娃娃。	钱
想要有钱应该要印钞票。	钱
想要有钱应该要去上班。	钱
想要有钱应该要去工作。	钱
想要有钱应该要去当明星。	钱
想要有钱应该要去当舖。	钱
想要有钱应该要去打工。	钱
想要有钱应该要去投资。	钱
想要有钱应该要去抢。	钱
想要有钱应该要去赌博。	钱
想要有钱应该要去赚。	钱
想要有钱应该要发愤。	钱
想要有钱应该要发文。	钱
想要有钱应该要发财。	钱
想要有钱应该要变勤劳。	钱
想要有钱应该要吃苦。	钱
想要有钱应该要向上。	钱
想要有钱应该要向人乞讨。	钱
想要有钱应该要向成功人学习。	钱
想要有钱应该要唸书。	钱
想要有钱应该要善于投资。	钱
想要有钱应该要善于理财。	钱
想要有钱应该要培养专长。	钱
想要有钱应该要培养工作实力。	钱
想要有钱应该要增加实力。	钱
想要有钱应该要多买乐透。	钱
想要有钱应该要多充实自己。	钱
想要有钱应该要多兼差。	钱
想要有钱应该要多写文章。	钱
想要有钱应该要多唸书。	钱
想要有钱应该要多投资。	钱
想要有钱应该要多看书。	钱
想要有钱应该要多读书。	钱
想要有钱应该要多读书多赚。	钱
想要有钱应该要奋发。	钱
想要有钱应该要奋发向上。	钱
想要有钱应该要好好储蓄。	钱
想要有钱应该要好好唸书。	钱
想要有钱应该要好好念书。	钱
想要有钱应该要好好打拼。	钱
想要有钱应该要好好读书。	钱
想要有钱应该要好的投资。	钱
想要有钱应该要妥善投资。	钱
想要有钱应该要妥善理财。	钱
想要有钱应该要嫁入豪门。	钱
想要有钱应该要存款。	钱
想要有钱应该要存起来。	钱
想要有钱应该要存银行。	钱
想要有钱应该要学一技之长。	钱
想要有钱应该要学习。	钱
想要有钱应该要学习专长。	钱
想要有钱应该要学习投资理财。	钱
想要有钱应该要学习理财。	钱
想要有钱应该要学习理财规划。	钱
想要有钱应该要学会投资。	钱
想要有钱应该要学理财。	钱
想要有鸡应该要孵蛋。	鸡
想要有钱应该要定存。	钱
想要有钱应该要定期储蓄。	钱
想要有钱应该要少消费。	钱
想要有钱应该要就业。	钱
想要有钱应该要巴结上司。	钱
想要有钱应该要巴结老板。	钱
想要有钱应该要帮助弱势。	钱
想要有钱应该要开发商机。	钱
想要有钱应该要开展副业。	钱
想要有钱应该要开源节流。	钱
想要有钱应该要当上老板。	钱
想要有钱应该要当官。	钱
想要有钱应该要当家教。	钱
想要有钱应该要当小偷。	钱
想要有钱应该要当小白脸。	钱
想要有钱应该要当总统。	钱
想要有钱应该要当掉贵重物品。	钱
想要有名应该要当明星。	名
想要有钱应该要当老师。	钱
想要有钱应该要当老板。	钱
想要有钱应该要当街头艺人。	钱
想要有钱应该要很聪明。	钱
想要有钱应该要忍到发薪水日。	钱
想要有钱应该要念书。	钱
想要有钱应该要想办法。	钱
想要有钱应该要懂得开源节流。	钱
想要有钱应该要懂得投资。	钱
想要有钱应该要懂得理财。	钱
想要有钱应该要懂得精打细算。	钱
想要有钱应该要懂的投资。	钱
想要有钱应该要成功。	钱
想要有钱应该要打拼事业。	钱
想要有钱应该要找份好工作。	钱
想要有钱应该要找兼职。	钱
想要有钱应该要找到好工作。	钱
想要有钱应该要找好工作。	钱
想要有钱应该要找好的工作。	钱
想要有钱应该要找对工作。	钱
想要有钱应该要找机会。	钱
想要有钱应该要找老板。	钱
想要有钱应该要找高薪工作。	钱
想要有钱应该要把握机会。	钱
想要有钱应该要投稿。	钱
想要有钱应该要投资买股票。	钱
想要有钱应该要投资房地产。	钱
想要有钱应该要投资正确。	钱
想要有钱应该要投资理财。	钱
想要有钱应该要投资股票。	钱
想要有钱应该要抢劫。	钱
想要有钱应该要抢银行。	钱
想要有钱应该要拍卖。	钱
想要有钱应该要拍卖物品。	钱
想要有钱应该要拼命工作。	钱
想要有钱应该要拼命念书。	钱
想要有钱应该要拼命赚。	钱
想要有钱应该要拿奖金。	钱
想要有钱应该要挖到金矿山。	钱
想要有钱应该要控制支出。	钱
想要有钱应该要搞投机生意。	钱
想要有钱应该要智慧。	钱
想要有钱应该要有一技之长。	钱
想要有钱应该要有个好爸爸。	钱
想要有钱应该要有创意。	钱
想要有钱应该要有商业头脑。	钱
想要有钱应该要有头脑。	钱
想要有钱应该要有好工作。	钱
想要有钱应该要有工作。	钱
想要有钱应该要有权。	钱
想要有钱应该要有理想。	钱
想要有钱应该要有生意头脑。	钱
想要有钱应该要有眼光。	钱
想要有钱应该要有知识。	钱
想要有钱应该要正当的赚。	钱
想要有钱应该要正确投资。	钱
想要有钱应该要正确理财。	钱
想要有钱应该要毅力。	钱
想要有钱应该要比别人更强。	钱
想要有钱应该要比赛拿奖金。	钱
想要有钱应该要求老板加薪。	钱
想要有钱应该要消费。	钱
想要有钱应该要炒地皮。	钱
想要有钱应该要炒房地产。	钱
想要有钱应该要炒股。	钱
想要有钱应该要炒股票。	钱
想要有钱应该要理财。	钱
想要有钱应该要理财规划。	钱
想要有钱应该要用功。	钱
想要有钱应该要用功念书。	钱
想要有钱应该要用功读书。	钱
想要有钱应该要用心工作。	钱
想要有钱应该要用心赚。	钱
想要有钱应该要用脑。	钱
想要有钱应该要申请奖学金。	钱
想要有钱应该要省一点。	钱
想要有钱应该要省吃俭用。	钱
想要有钱应该要省吃检用。	钱
想要有钱应该要看准投资方向。	钱
想要有钱应该要积德。	钱
想要有钱应该要积极进取。	钱
想要有钱应该要签乐透。	钱
想要有钱应该要签六合彩。	钱
想要有钱应该要精打细算。	钱
想要有钱应该要细心。	钱
想要有钱应该要考公职。	钱
想要有钱应该要耍心机。	钱
想要有钱应该要聪明。	钱
想要有钱应该要聪明投资。	钱
想要有钱应该要肯吃苦。	钱
想要有钱应该要脚踏实地。	钱
想要有钱应该要自己加油。	钱
想要有钱应该要自己慢慢存。	钱
想要有钱应该要自己赚。	钱
想要有酒应该要自己酿。	酒
想要有钱应该要自立自强。	钱
想要有钱应该要自行创业。	钱
想要有钱应该要节俭。	钱
想要有钱应该要节流。	钱
想要有钱应该要节省。	钱
想要有钱应该要节省一点。	钱
想要有钱应该要节省开支。	钱
想要有钱应该要节省开销。	钱
想要有钱应该要节省花。	钱
想要有钱应该要节省花费。	钱
想要有钱应该要花更少。	钱
想要有钱应该要行商。	钱
想要有钱应该要被包养。	钱
想要有钱应该要观看股市投资。	钱
想要有钱应该要规划投资。	钱
想要有钱应该要认真上进。	钱
想要有钱应该要认真唸书。	钱
想要有钱应该要认真工作。	钱
想要有钱应该要认真念书。	钱
想要有钱应该要认真读书。	钱
想要有钱应该要认真赚。	钱
想要有钱应该要讨好老板。	钱
想要有钱应该要讯息广。	钱
想要有钱应该要试着投资。	钱
想要有钱应该要试试大乐透。	钱
想要有钱应该要试试彩券。	钱
想要有钱应该要诚实。	钱
想要有钱应该要读书。	钱
想要有钱应该要赌博。	钱
想要有钱应该要赚更多。	钱
想要有钱应该要跟人借。	钱
想要有钱应该要跟妈妈拿。	钱
想要有钱应该要跟父母要。	钱
想要有钱应该要跟爸爸拿。	钱
想要有钱应该要踏实。	钱
想要有钱应该要身体力行。	钱
想要有钱应该要辛勤工作。	钱
想要有钱应该要辛苦工作。	钱
想要有钱应该要运用知识。	钱
想要有钱应该要进修。	钱
想要有钱应该要进行营利行为。	钱
想要有钱应该要远见。	钱
想要有钱应该要送人。	钱
想要有钱应该要适当投资。	钱
想要有钱应该要避免浪费。	钱
想要有钱应该要量入为出。	钱
想要有树应该要阻止滥伐。	树
想要有钱应该要陪酒。	钱
想要有钱应该要领奖学金。	钱
想要有主人的爱应该要乖。	乖
想要有双眼皮应该要割。	割
想要有可爱的猫应该要买。	买
想要有好的成绩应该要拼。	拼
想要有宠物应该要买。	买
想要有小孩应该要生。	生
想要有布丁应该要买。	买
想要有快乐的心情应该要笑。	笑
想要有温泉券应该要买。	买
想要有肌肉应该要练。	练
想要有肥料应该要买。	买
想要有背包应该要买。	买
想要有自动笔应该要买。	买
想要有衣服应该要买。	买
想要有黄金应该要买。	买
打世纪帝国二的时候会想要赢。	赢
打手球的时候会想要赢。	赢
打比赛的时候会想要赢。	赢
打球的时候会想要赢。	赢
打电动是为了爽。	爽
打电动的时候会想要赢。	赢
折飞机是为了玩。	玩
掰咖的时候会想要哭。	哭
收到无辜罚单的时候会想要哭。	哭
旅游是为了玩。	玩
旅游的时候会想要玩。	玩
无助的时候会想要哭。	哭
有钱的时候会想要玩。	玩
毕业的时候会想要哭。	哭
气到不行的时候会想要哭。	哭
没自信的时候会想要哭。	哭
泡泡面是为了吃。	吃
洗牌的时候会想要赢。	赢
烦闷的时候会想要玩。	玩
煮饭是为了吃。	吃
玩游戏的时候会想要赢。	赢
男友打我的时候会想要哭。	哭
疲累的时候会想要睡。	睡
眼睛瞎掉的时候会想要哭。	哭
种菜是为了吃。	吃
考不好的时候会想要哭。	哭
考试成绩差的时候会想要哭。	哭
肠胃炎的时候会想要吐。	吐
背部痒的时候会想要抓。	抓
脚底板很痒的时候会想要抓。	抓
落榜的时候会想要哭。	哭
衣服脏了的时候会想要洗。	洗
被人排挤的时候会想要哭。	哭
被家人背叛的时候会想要哭。	哭
被狗追的时候会想要跑。	跑
被背叛的时候会想要哭。	哭
被蚊子叮的时候会想要抓。	抓
被骂的时候会想要哭。	哭
觉得失望的时候会想要哭。	哭
觉得开心的时候会想要笑。	笑
觉得快乐的时候会想要笑。	笑
觉得悲伤的时候会想要哭。	哭
觉得被冤枉的时候会想要哭。	哭
觉得难过的时候会想要哭。	哭
觉得高兴的时候会想要笑。	笑
贪污是为了钱。	钱
超累的时候会想要睡。	睡
跟朋友吵架的时候会想要哭。	哭
输了的时候会想要哭。	哭
心会一直跳动。	心
雨会下一阵子。	雨
雨会下个不停。	雨
雪会下在高山上。	雪
心会不断跳动。	心
狗会乱叫。	狗
狗会乱咬东西。	狗
人会乱说话。	人
人会争吵。	人
人会交际。	人
人会享受美食。	人
风会令人凉爽。	风
雷会伴随闪电。	雷
雪会使人感觉冷。	雪
哭会使视线模煳。	哭
鸟会停在电线杆上。	鸟
牛会冲向红色。	牛
花会凋谢。	花
花会凋零。	花
氧会助燃。	氧
猫会卷成一团取暖。	猫
火会发光。	火
人会发薪水。	人
水会变冰。	水
云会变化。	云
水会变成冰块。	水
雪会变成水。	雪
铃会叮叮响。	铃
狗会吃屎。	狗
人会吃零食。	人
猪会吃馊水。	猪
狗会吃骨头。	狗
猫会吃鱼。	猫
人会后悔。	人
狗会吐舌头。	狗
蛇会吞食。	蛇
花会含苞待放。	花
狗会含骨头。	狗
狗会听主人的话。	狗
狗会听话。	狗
叫会吵人。	叫
叫会吵到人。	叫
叫会吵到其他人。	叫
叫会吵到邻居。	叫
人会吵架。	人
花会吸引蜜蜂。	花
花会吸引蝴蝶。	花
鸡会咕咕叫。	鸡
狗会咬小偷。	狗
猫会咬尾巴。	猫
狗会咬骨头。	狗
人会哭泣。	人
狗会啃骨头。	狗
鸡会啄人。	鸡
鸡会啄米。	鸡
鸡会啼叫。	鸡
跑会喘。	跑
渴会喝茶。	渴
笑会嘴角上扬。	笑
猪会噗噗叫。	猪
人会回答问题。	人
狗会在路边洒尿。	狗
猫会埋大便。	猫
恨会增加烦恼。	恨
跳会增强腿部肌肉。	跳
书会增进知识。	书
狗会大叫。	狗
人会学习思考。	人
蛋会孵化。	蛋
蛋会孵化成小鸡。	蛋
狗会守门。	狗
人会害怕寂寞。	人
人会寂寞。	人
狗会对主人忠心。	狗
狗会导盲。	狗
钱会带来财富。	钱
灯会帮助照明。	灯
笑会延年益寿。	笑
人会建立制度。	人
花会引来蝴蝶。	花
火会引燃。	火
人会当阿宅。	人
水会往下流。	水
痛会很不舒服。	痛
火会很烫。	火
海会很蓝。	海
跑会心跳变快。	跑
狗会忠心耿耿。	狗
人会念经。	人
人会怀疑。	人
人会惋惜。	人
人会想像。	人
渴会想喝水。	渴
人会感动。	人
渴会找饮料。	渴
风会把树吹倒。	风
风会把纸吹走。	风
猫会抓伤人。	猫
人会抓住机会。	人
猫会抓老鼠。	猫
狗会护主。	狗
鸡会拍翅膀。	鸡
狗会拼命摇尾巴。	狗
心会持续跳动。	心
蛇会挂在树上。	蛇
人会挑战。	人
人会捐钱。	人
狗会捡飞盘。	狗
哭会掉眼泪。	哭
人会探索。	人
狗会接球。	狗
水会接近无限透明。	水
狗会接飞盘。	狗
狗会摇尾巴。	狗
花会摇曳。	花
车会撞人。	车
树会放出氧气。	树
云会散去。	云
狗会旺旺叫。	狗
笑会是件开心的事。	笑
狗会替主人看家。	狗
树会有年轮。	树
人会有恩怨情仇。	人
人会有气质。	人
海会有浪。	海
海会有漩涡。	海
海会有潮起潮落。	海
人会有知识。	人
人会有道德。	人
花会有香味。	花
花会枯萎。	花
蛇会毒人。	蛇
狗会汪汪汪。	狗
水会沸腾。	水
雨会洗净大地。	雨
水会流向大海。	水
哭会流眼泪。	哭
哭会流鼻水。	哭
哭会流鼻涕。	哭
水会淹死人。	水
鸭会游水。	鸭
水会滋养大地。	水
水会滴下来。	水
水会灌溉农作物。	水
火会烧毁房子。	火
火会煮熟东西。	火
火会熄灭。	火
火会燃烧。	火
火会燃烧物品。	火
火会燎原。	火
人会犯罪。	人
狗会狂叫。	狗
狗会玩你丢我捡。	狗
猫会玩毛线球。	猫
钱会生利息。	钱
铁会生锈。	铁
跳会用力。	跳
人会用火。	人
鸭会用蹼滑水。	鸭
鸭会用蹼走路。	鸭
人会盖房子。	人
花会盛开。	花
狗会看家。	狗
狗会看家门。	狗
狗会看门。	狗
鸡会短暂飞翔。	鸡
人会社交。	人
跳会离地。	跳
人会空手道。	人
水会穿石。	水
人会穿衣服。	人
水会穿透石头。	水
线会系在针上。	线
水会结冰。	水
水会结冻。	水
水会结成冰。	水
虫会结茧。	虫
花会绽放。	花
人会缝衣服。	人
猫会舔手脚。	猫
猫会舔自己。	猫
猫会舔自己梳毛。	猫
猫会舔自己的毛。	猫
钱会花完。	钱
水会蒸发。	水
虫会蠕动。	虫
树会行光合作用。	树
猪会被人饲养。	猪
水会解渴。	水
狗会认主人。	狗
死会让人悲伤。	死
叫会让喉咙痛。	叫
哭会让眼睛红肿。	哭
水会让身体湿掉。	水
水会让铁生锈。	水
人会访问。	人
人会说错话。	人
海会调节温度。	海
人会购物。	人
猫会走路无声。	猫
海会起大浪。	海
心会跳动。	心
水会载舟。	水
球会进篮框。	球
人会追求梦想。	人
水会遇冷凝结。	水
水会遇冷结冰。	水
水会遇热气化。	水
云会遮住太阳。	云
云会遮住月亮。	云
笑会释放压力。	笑
树会释放氧气。	树
狗会闻东西。	狗
人会阅读。	人
花会随着季节绽放。	花
云会飘。	云
雪会飘落。	雪
鸟会飞翔。	鸟
鸟会飞起来。	鸟
蝉会鸣叫。	蝉
天会黑。	天
人能做的事情有上学。	人
人能做的事情有上课。	人
人能做的事情有下棋。	人
人能做的事情有交朋友。	人
人能做的事情有享受生活。	人
钱能做的事情有付帐。	钱
人能做的事情有促进世界和平。	人
狗能做的事情有保护主人。	狗
人能做的事情有保护生态。	人
人能做的事情有修水管。	人
人能做的事情有修电脑。	人
人能做的事情有倒垃圾。	人
狗能做的事情有做伴。	狗
人能做的事情有做功课。	人
人能做的事情有做善事。	人
人能做的事情有做好榜样。	人
人能做的事情有做实验。	人
人能做的事情有做运动。	人
人能做的事情有做饭。	人
树能做的事情有光合作用。	树
人能做的事情有养狗。	人
人能做的事情有养猪。	人
人能做的事情有养猫。	人
人能做的事情有写信。	人
人能做的事情有写暑假作业。	人
人能做的事情有写歌。	人
人能做的事情有出国。	人
人能做的事情有出版刊物。	人
人能做的事情有创业。	人
人能做的事情有创作。	人
人能做的事情有创造。	人
人能做的事情有制作道具。	人
水能做的事情有制冰。	水
人能做的事情有剪指甲。	人
人能做的事情有升学。	人
狗能做的事情有协助搜救。	狗
狗能做的事情有协助缉毒。	狗
牛能做的事情有反刍。	牛
人能做的事情有发明。	人
人能做的事情有发明东西。	人
人能做的事情有发明产品。	人
人能做的事情有发现创作。	人
风能做的事情有发电。	风
蚕能做的事情有变成蛹。	蚕
蚕能做的事情有变成蛾。	蚕
鸡能做的事情有叫人起床。	鸡
蚕能做的事情有吃桑叶。	蚕
猫能做的事情有吃老鼠。	猫
鸟能做的事情有吃谷粒。	鸟
蚕能做的事情有吐丝。	蚕
人能做的事情有吐槽。	人
狗能做的事情有吓走小偷。	狗
狗能做的事情有吓跑坏人。	狗
猫能做的事情有咪咪叫。	猫
狗能做的事情有咬坏人。	狗
牛能做的事情有哞哞叫。	牛
鸟能做的事情有啾啾叫。	鸟
鸟能做的事情有喳喳叫。	鸟
人能做的事情有器官捐赠。	人
人能做的事情有团结合作。	人
鸟能做的事情有在天上飞。	鸟
鸟能做的事情有在天空中飞翔。	鸟
人能做的事情有在家上网。	人
狗能做的事情有在机场闻毒品。	狗
人能做的事情有娱乐。	人
人能做的事情有学习。	人
狗能做的事情有守门口。	狗
酒能做的事情有宿醉。	酒
人能做的事情有工作赚钱。	人
水能做的事情有帮人解渴。	水
狗能做的事情有帮忙追坏人。	狗
人能做的事情有建立城市。	人
人能做的事情有弹吉他。	人
手能做的事情有弹琴。	手
人能做的事情有当政客。	人
狗能做的事情有当警犬。	狗
鸡能做的事情有当闹钟。	鸡
人能做的事情有微笑。	人
狗能做的事情有忠心陪伴。	狗
人能做的事情有恋爱。	人
人能做的事情有想念。	人
狗能做的事情有战斗。	狗
人能做的事情有戴隐形眼镜。	人
人能做的事情有打工赚钱。	人
人能做的事情有打扫家里。	人
人能做的事情有打牌。	人
人能做的事情有打球吃饭睡觉。	人
人能做的事情有打电动。	人
人能做的事情有打篮球。	人
手能做的事情有打键盘。	手
人能做的事情有扫地。	人
狗能做的事情有找东西。	狗
人能做的事情有找工作。	人
熊能做的事情有找蜂蜜。	熊
钱能做的事情有投资。	钱
牛能做的事情有拉犁。	牛
人能做的事情有拖地。	人
树能做的事情有招风。	树
手能做的事情有拿筷子。	手
人能做的事情有挑水。	人
猫能做的事情有捉老鼠。	猫
鸟能做的事情有捉虫。	鸟
钱能做的事情有捐献。	钱
手能做的事情有揉眼睛。	手
羊能做的事情有提供毛。	羊
手能做的事情有握麦克风。	手
狗能做的事情有搜寻毒品。	狗
狗能做的事情有搜救。	狗
手能做的事情有摸摸头。	手
人能做的事情有撑竿跳。	人
人能做的事情有改变世界。	人
手能做的事情有敲电脑键盘。	手
人能做的事情有整理家务。	人
人能做的事情有旅游。	人
人能做的事情有旅行。	人
鸡能做的事情有晨啼。	鸡
鸟能做的事情有替大树抓坏虫。	鸟
狗能做的事情有查毒品。	狗
树能做的事情有水土保持。	树
狗能做的事情有汪汪。	狗
水能做的事情有洗手。	水
人能做的事情有洗碗。	人
水能做的事情有洗碗盘。	水
水能做的事情有洗米。	水
水能做的事情有浇花。	水
狗能做的事情有牧羊。	狗
狗能做的事情有狂吠。	狗
鱼能做的事情有用腮唿吸。	鱼
鱼能做的事情有用鳃唿吸。	鱼
鱼能做的事情有用鳃换气。	鱼
笔能做的事情有画图。	笔
蚕能做的事情有结茧。	蚕
狗能做的事情有舔骨头。	狗
鱼能做的事情有被钓。	鱼
碗能做的事情有装水果。	碗
水能做的事情有调节大气气候。	水
车能做的事情有超速行驶。	车
猫能做的事情有跟狗打架。	猫
水能做的事情有载舟覆舟。	水
车能做的事情有载货物。	车
猫能做的事情有追老鼠。	猫
狗能做的事情有顾门。	狗
狗能做的事情有顾门口。	狗
上网会笑。	笑
不幸会哭。	哭
丧事能做的事情有哭。	哭
中暑会热。	热
亲人过世会哭。	哭
休息能做的事情有睡。	睡
伤口会痛。	痛
伤心时会哭。	哭
伤心能做的事情有哭。	哭
兄弟姊妹能做的事情有玩。	玩
冬天会冷。	冷
冬眠能做的事情有睡。	睡
吃宵夜会胖。	胖
和朋友在一起能做的事情有玩。	玩
喝农药可能会死。	死
噪音会吵。	吵
地球仪会转。	转
地球会转。	转
夏天会热。	热
大吃会胖。	胖
失恋时会哭。	哭
失恋能做的事情有哭。	哭
小蝴蝶会飞。	飞
心情好会笑。	笑
心痛会哭。	哭
心脏病发可能会死。	死
忧郁时能做的事情有哭。	哭
快乐会笑。	笑
快乐的人会笑。	笑
悲伤的时候会哭。	哭
悲伤能做的事情有哭。	哭
感动时能做的事情有哭。	哭
感动能做的事情有哭。	哭
手电筒会亮。	亮
打扫会累。	累
打球打太久会累。	累
放屁会臭。	臭
晚上能做的事情有睡。	睡
有人大叫会吵。	吵
有钱能做的事情有玩。	玩
服药过量可能会死。	死
没钱会穷。	穷
游乐园能做的事情有玩。	玩
热水会烫。	烫
疲劳能做的事情有睡。	睡
疲惫能做的事情有睡。	睡
直升机能做的事情有飞。	飞
看到恶心的东会吐。	吐
看喜剧会笑。	笑
看喜剧片会笑。	笑
看感人电影会哭。	哭
落榜会哭。	哭
蛀牙会痛。	痛
蜘蛛能做的事情有爬。	爬
蝴蝶会飞。	飞
螃蟹会爬。	爬
袋鼠会跳。	跳
赶时间的人会跑。	跑
跳淡水河自杀会死。	死
过期太久食品会坏。	坏
过生日会笑。	笑
陀螺会转。	转
难过时能做的事情有哭。	哭
难过的时候会哭。	哭
雁鹅能做的事情有飞。	飞
风筝会飞。	飞
飞机起飞会吵。	吵
食物放久了会坏。	坏
鼻子能做的事情有闻。	闻
中药是苦的。	苦
优酪乳是甜的。	甜
伤口是痛的。	痛
冬天是冷的。	冷
在冬天吃冰是冷的。	冷
心碎是痛的。	痛
搬家是累的。	累
方糖是甜的。	甜
朝天椒是辣的。	辣
果冻是甜的。	甜
棒棒糖是甜的。	甜
热水是烫的。	烫
牛奶糖是甜的。	甜
甘蔗是甜的。	甜
盐酥鸡是咸的。	咸
糖水是甜的。	甜
糖浆是甜的。	甜
舌头是软的。	软
药粉是苦的。	苦
西药是苦的。	苦
黄莲是苦的。	苦
黑巧克力是苦的。	苦
胖会让你想要不吃宵夜。	胖
穷会让你想要中奖。	穷
热会让你想要乘凉。	热
穷会让你想要乞讨。	穷
钱会让你想要买东西。	钱
冷会让你想要买外套。	冷
冷会让你想要买暖暖包。	冷
冷会让你想要保暖。	冷
冷会让你想要冬眠。	冷
热会让你想要冷气。	热
胖会让你想要减肥。	胖
冷会让你想要出国避寒。	冷
钱会让你想要努力工作。	钱
冷会让你想要取暖。	冷
胖会让你想要变瘦。	胖
饿会让你想要吃便当。	饿
热会让你想要吃冰棒。	热
饿会让你想要吃夜点。	饿
饿会让你想要吃大餐。	饿
饿会让你想要吃棉花糖。	饿
饿会让你想要吃波卡。	饿
饿会让你想要吃点心。	饿
冷会让你想要吃热食。	冷
饿会让你想要吃菜。	饿
饿会让你想要吃零食。	饿
饿会让你想要吃面。	饿
饿会让你想要吃面包。	饿
饿会让你想要吃饼干。	饿
饿会让你想要吃麦当劳。	饿
冷会让你想要吹暖气。	冷
热会让你想要吹电扇。	热
热会让你想要吹电风扇。	热
冷会让你想要喝热汤。	冷
冷会让你想要多穿衣服。	冷
